NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR
060369000329,0603690,Elwin Elementary,06,13010 E. Waco St.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0733,-117.9906,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000330,0603690,Foster Elementary,06,13900 Foster Ave.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0715,-117.9722,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000331,0603690,Ernest R. Geddes Elementary,06,14600 Cavette Pl.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0969,-117.9573,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000332,0603690,Kenmore Elementary,06,3823 Kenmore Ave.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0815,-117.9745,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000333,0603690,BP STEM Academy,06,4733 Landis Ave.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0988,-117.9642,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000334,0603690,Margaret Heath Elementary,06,14321 Sch St.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.1018,-117.9627,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000335,0603690,North Park Continuation High,06,4600 Bogart Ave.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0958,-117.9571,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000336,0603690,Olive Middle,06,13701 Olive St.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.1004,-117.976,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000337,0603690,Pleasant View Elementary,06,14900 E. Nubia St.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.1028,-117.953,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000338,0603690,Sierra Vista High,06,3600 N. Frazier St.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0761,-117.9803,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000339,0603690,Sierra Vista Middle,06,13400 Foster Ave.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0767,-117.9797,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000340,0603690,Tracy Elementary,06,13350 Tracy St.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.072,-117.9842,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000341,0603690,Vineland Elementary,06,3609 Vineland Ave.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0799,-117.9616,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060369000342,0603690,Walnut Elementary,06,4701 N. Walnut St.,Baldwin Park,CA,91706,06,06037,Los Angeles County,21,34.0981,-117.9764,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060372000343,0603720,Ballard Elementary,06,2425 Sch St.,Solvang,CA,93463,06,06083,Santa Barbara County,41,34.639425,-120.11426,42200,"Santa Maria-Santa Barbara, CA",1,N,N,N,N,0624,06037,06019,2022-2023
060375000344,0603750,Ballico-Cressey Community Charter,06,11818 Gregg St.,Ballico,CA,95303,06,06047,Merced County,41,37.454634,-120.700181,32900,"Merced, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0616,06021,06012,2022-2023
060375000345,0603750,Cressey Elementary,06,9921 Crocker St.,Cressey,CA,95312,06,06047,Merced County,41,37.421557,-120.666872,32900,"Merced, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0616,06021,06012,2022-2023
060378000346,0603780,Bangor Union Elementary,06,7549 Oro-Bangor Hwy.,Bangor,CA,95914,06,06007,Butte County,42,39.390889,-121.407935,17020,"Chico, CA",1,N,N,N,N,0601,06003,06004,2022-2023
060384000347,0603840,Banning High,06,100 W. W.ward,Banning,CA,92220,06,06065,Riverside County,41,33.9172,-116.8782,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384000348,0603840,Central Elementary,06,295 N. San Gorgonio Ave.,Banning,CA,92220,06,06065,Riverside County,21,33.9285,-116.878,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384000350,0603840,Hemmerling Elementary,06,1928 W. Nicolet St.,Banning,CA,92220,06,06065,Riverside County,21,33.9286,-116.8976,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384000351,0603840,Hoffer Elementary,06,1115 E. Hoffer St.,Banning,CA,92220,06,06065,Riverside County,21,33.9336,-116.8648,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384000352,0603840,New Horizon High,06,1151 W. Wilson St.,Banning,CA,92220,06,06065,Riverside County,21,33.9333,-116.8896,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384003574,0603840,Nicolet Middle,06,101 E. Nicolet St.,Banning,CA,92220,06,06065,Riverside County,21,33.9297,-116.8759,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384008555,0603840,Banning Independent Study,06,1151 W. Wilson St.,Banning,CA,92220,06,06065,Riverside County,21,33.9303,-116.8752,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384009305,0603840,Cabazon Elementary,06,50575 Carmen Ave.,Cabazon,CA,92230,06,06065,Riverside County,41,33.9099,-116.7801,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384012834,0603840,Banning PreK,06,161 W. Willams,Banning,CA,92220,06,06065,Riverside County,21,33.927631,-116.87847,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384013223,0603840,Florida Street Discovery Center,06,671 N. Florida St.,Banning,CA,92220,06,06065,Riverside County,21,33.932141,-116.870446,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060384013269,0603840,Renu Hope Preschool,06,771 W. Williams,Banning,CA,92220,06,06065,Riverside County,21,33.9274,-116.8851,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060402000355,0604020,Barstow High,06,430 S. First Ave.,Barstow,CA,92311,06,06071,San Bernardino County,32,34.8937,-117.0283,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402000356,0604020,Barstow Junior High,06,1000 Armory Rd.,Barstow,CA,92311,06,06071,San Bernardino County,32,34.8832,-117.0108,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402000357,0604020,Cameron Elementary,06,801 Muriel Dr.,Barstow,CA,92311,06,06071,San Bernardino County,32,34.8911,-117.0114,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402000358,0604020,Central High (Continuation),06,405 N. Second Ave.,Barstow,CA,92311,06,06071,San Bernardino County,32,34.902,-117.0257,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402000359,0604020,Crestline Elementary,06,2020 Monterey,Barstow,CA,92311,06,06071,San Bernardino County,32,34.8751,-117.0164,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402000360,0604020,Henderson Elementary,06,400 S. Ave. E,Barstow,CA,92311,06,06071,San Bernardino County,32,34.8911,-117.0396,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402000363,0604020,Lenwood Elementary,06,34374 Ash Rd.,Lenwood,CA,92311,06,06071,San Bernardino County,32,34.8759,-117.1082,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402000364,0604020,Montara Elementary,06,700 Montara Rd.,Barstow,CA,92311,06,06071,San Bernardino County,32,34.8801,-116.9949,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402000365,0604020,Skyline North Elementary,06,36968 Camarillo Ave.,Barstow,CA,92311,06,06071,San Bernardino County,32,34.9219,-117.0184,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402011946,0604020,Challenges Community Day,06,25757 Agate Rd.,Lenwood,CA,92311,06,06071,San Bernardino County,32,34.891044,-117.099901,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402012957,0604020,BUSD School of Opportunity,06,405 N. Second Ave.,Barstow,CA,92311,06,06071,San Bernardino County,32,34.9016,-117.0256,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402013771,0604020,Barstow STEM Academy,06,310 Mountain View,Barstow,CA,92311,06,06071,San Bernardino County,32,34.892359,-117.030554,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060402014398,0604020,Barstow Fine Arts Academy,06,500 S. Ave. G,Barstow,CA,92311,06,06071,San Bernardino County,32,34.89114,-117.043504,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06016,2022-2023
060408007167,0604080,Fresno Flats Community Day,06,43109 Highway 49,Ahwahnee,CA,93601,06,06039,Madera County,42,37.374337,-119.727474,31460,"Madera, CA",1,260,"Fresno-Madera-Hanford, CA",N,N,0604,06005,06008,2022-2023
060408009306,0604080,Oakhurst Elementary,06,49495 Rd. 427,Oakhurst,CA,93644,06,06039,Madera County,32,37.329649,-119.646142,31460,"Madera, CA",1,260,"Fresno-Madera-Hanford, CA",N,N,0604,06005,06008,2022-2023
060408009307,0604080,Oak Creek Intermediate,06,40094 Indian Springs Rd.,Oakhurst,CA,93644,06,06039,Madera County,41,37.331557,-119.641685,31460,"Madera, CA",1,260,"Fresno-Madera-Hanford, CA",N,N,0604,06005,06008,2022-2023
060408010250,0604080,Wasuma Elementary,06,43109 Hwy. 49,Ahwahnee,CA,93601,06,06039,Madera County,42,37.374337,-119.727474,31460,"Madera, CA",1,260,"Fresno-Madera-Hanford, CA",N,N,0604,06005,06008,2022-2023
060411000371,0604110,Bassett Senior High,06,755 Ardilla Ave.,La Puente,CA,91746,06,06037,Los Angeles County,21,34.05179,-117.977142,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06057,06022,2022-2023
060411000372,0604110,Edgewood Academy,06,14135 E. Fairgrove Ave.,La Puente,CA,91746,06,06037,Los Angeles County,21,34.056066,-117.967682,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060411000375,0604110,Nueva Vista Continuation High,06,904 Willow Ave.,La Puente,CA,91746,06,06037,Los Angeles County,21,34.052592,-117.971874,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060411000376,0604110,Sunkist Elementary,06,935 Mayland Ave.,La Puente,CA,91746,06,06037,Los Angeles County,21,34.056501,-117.975296,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06057,06022,2022-2023
060411000377,0604110,Torch Middle,06,751 N. Vineland Ave.,City Of Industry,CA,91746,06,06037,Los Angeles County,21,34.057622,-117.984129,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06057,06022,2022-2023
060411000378,0604110,J. E. Van Wig Elementary,06,1151 N. Van Wig Ave.,La Puente,CA,91746,06,06037,Los Angeles County,21,34.060534,-117.975255,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06048,06022,2022-2023
060411007263,0604110,Don Julian Elementary,06,13855 Don Julian Rd.,La Puente,CA,91746,06,06037,Los Angeles County,21,34.03794,-117.992371,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0632,06057,06022,2022-2023
060420000379,0604200,Bayshore,06,155 Oriente St.,Daly City,CA,94014,06,06081,San Mateo County,21,37.705349,-122.414198,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0614,06019,06011,2022-2023
060423000381,0604230,Big Bear High,06,351 Maple Ln.,Big Bear City,CA,92314,06,06071,San Bernardino County,32,34.256,-116.8257,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06023,2022-2023
060423000382,0604230,Big Bear Middle,06,41275 Big Bear Blvd.,Big Bear Lake,CA,92315,06,06071,San Bernardino County,32,34.243209,-116.901384,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06023,2022-2023
060423000383,0604230,Fallsvale,06,40600 Valley of the Falls Dr.,Forest Falls,CA,92339,06,06071,San Bernardino County,42,34.087869,-116.918864,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06023,2022-2023
060423000384,0604230,North Shore Elementary,06,765 N. Stanfield Cutoff,Big Bear Lake,CA,92315,06,06071,San Bernardino County,41,34.261915,-116.884277,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06023,2022-2023
060423005028,0604230,Baldwin Lane Elementary,06,44500 Baldwin Ln.,Big Bear City,CA,92314,06,06071,San Bernardino County,32,34.251412,-116.830695,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06023,2022-2023
060423007264,0604230,Chautauqua High (Continuation),06,351 Maple Ln.,Big Bear City,CA,92314,06,06071,San Bernardino County,32,34.256,-116.8257,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0608,06033,06023,2022-2023
060426000385,0604260,Beardsley Junior High,06,1001 Roberts Ln.,Bakersfield,CA,93308,06,06029,Kern County,21,35.408281,-119.040221,12540,"Bakersfield, CA",1,N,N,N,N,0623,06034,06016,2022-2023
060426008797,0604260,Beardsley Elementary,06,1001 Roberts Ln.,Bakersfield,CA,93308,06,06029,Kern County,21,35.408281,-119.040221,12540,"Bakersfield, CA",1,N,N,N,N,0623,06034,06016,2022-2023
060426008798,0604260,North Beardsley Elementary,06,900 Sanford Dr.,Bakersfield,CA,93308,06,06029,Kern County,21,35.415191,-119.04236,12540,"Bakersfield, CA",1,N,N,N,N,0623,06034,06016,2022-2023
060426010807,0604260,San Lauren Elementary,06,5210 Victor St.,Bakersfield,CA,93308,06,06029,Kern County,11,35.408082,-119.061362,12540,"Bakersfield, CA",1,N,N,N,N,0623,06034,06016,2022-2023
060429000386,0604290,Beaumont Senior High,06,39139 Cherry Valley Blvd.,Beaumont,CA,92223,06,06065,Riverside County,21,33.964932,-116.97983,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429000387,0604290,Mountain View Middle,06,200 Cougar Way,Beaumont,CA,92223,06,06065,Riverside County,21,33.954645,-116.981167,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429000388,0604290,Palm Innovation Academy,06,751 Palm Ave.,Beaumont,CA,92223,06,06065,Riverside County,21,33.93215,-116.972227,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429008261,0604290,Glen View High,06,939 E. Tenth St.,Beaumont,CA,92223,06,06065,Riverside County,21,33.935293,-116.969354,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429010579,0604290,Three Rings Ranch Elementary,06,1040 Claiborne Ave.,Beaumont,CA,92223,06,06065,Riverside County,21,33.936566,-116.987415,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429011012,0604290,Brookside Elementary,06,38755 Brookside Ave.,Beaumont,CA,92223,06,06065,Riverside County,21,33.96081,-116.986233,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429011013,0604290,San Gorgonio Middle,06,1591 Cherry Ave.,Beaumont,CA,92223,06,06065,Riverside County,21,33.952418,-116.965181,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429011219,0604290,Sundance Elementary,06,1520 E. Eighth St.,Beaumont,CA,92223,06,06065,Riverside County,21,33.933173,-116.953915,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429011956,0604290,Tournament Hills Elementary,06,36611 Champions Dr.,Beaumont,CA,92223,06,06065,Riverside County,21,33.953461,-117.021212,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429012345,0604290,Anna Hause Elementary,06,1015 Carnation Ln.,Beaumont,CA,92223,06,06065,Riverside County,21,33.937442,-116.962594,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429013598,0604290,Beaumont USD Preschool,06,350 W. Brookside Ave.,Beaumont,CA,92223,06,06065,Riverside County,41,33.962281,-116.984589,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429013779,0604290,21st Century Learning Institute,06,939 E. 10th St.,Beaumont,CA,92223,06,06065,Riverside County,21,33.935293,-116.969354,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429014274,0604290,Starlight Elementary,06,1510 Cougar Way,Beaumont,CA,92223,06,06065,Riverside County,41,33.956354,-116.954386,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429014572,0604290,Summerwind Trails,06,1020 Poinsettia Cir.,Calimesa,CA,92320,06,06065,Riverside County,41,33.967235,-117.041542,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060429014610,0604290,Beaumont Middle College High,06,3144 W. W.ward Ave.,Banning,CA,92220,06,06065,Riverside County,41,33.916921,-116.910997,40140,"Riverside-San Bernardino-Ontario, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0636,06042,06023,2022-2023
060435000392,0604350,Bella Vista Elementary,06,22661 Old Alturas Rd.,Bella Vista,CA,96008,06,06089,Shasta County,41,40.638596,-122.232725,39820,"Redding, CA",1,454,"Redding-Red Bluff, CA",N,N,0601,06001,06001,2022-2023
060438000393,0604380,Bellevue Elementary,06,3223 Primrose Ave.,Santa Rosa,CA,95407,06,06097,Sonoma County,21,38.397294,-122.735413,42220,"Santa Rosa-Petaluma, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0605,06010,06002,2022-2023
060438000394,0604380,Kawana Springs Elementary,06,2121 Moraga Dr.,Santa Rosa,CA,95404,06,06097,Sonoma County,12,38.421004,-122.700855,42220,"Santa Rosa-Petaluma, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0605,06010,06002,2022-2023
060438007865,0604380,Meadow View Elementary,06,2665 Dutton Meadow Ave.,Santa Rosa,CA,95407,06,06097,Sonoma County,12,38.41202,-122.729779,42220,"Santa Rosa-Petaluma, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0605,06010,06002,2022-2023
060438011843,0604380,Taylor Mountain Elementary,06,1210 E. Bellevue Ave.,Santa Rosa,CA,95407,06,06097,Sonoma County,21,38.40118,-122.709271,42220,"Santa Rosa-Petaluma, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0605,06004,06002,2022-2023
060444000396,0604440,Bellflower High,06,15301 S. McNab Ave.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.8953,-118.1147,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06058,06032,2022-2023
060444000397,0604440,Stephen Foster Elementary,06,5223 E. Bigelow St.,Lakewood,CA,90712,06,06037,Los Angeles County,21,33.8581,-118.1312,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06063,06033,2022-2023
060444000398,0604440,Thomas Jefferson Elementary,06,10027 E. Rose St.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.8701,-118.1202,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06058,06032,2022-2023
060444000400,0604440,Esther Lindstrom Elementary,06,5900 N. Canehill St.,Lakewood,CA,90713,06,06037,Los Angeles County,21,33.8619,-118.1106,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06063,06032,2022-2023
060444000402,0604440,Mayfair High,06,6000 N. Woodruff Ave.,Lakewood,CA,90713,06,06037,Los Angeles County,21,33.864785,-118.115619,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06063,06032,2022-2023
060444000403,0604440,Ernie Pyle Elementary,06,14500 S. Woodruff Ave.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.9002,-118.1159,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06058,06032,2022-2023
060444000404,0604440,Ramona Elementary,06,9351 E. Laurel St.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.8837,-118.1348,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06058,06032,2022-2023
060444000408,0604440,Somerset High,06,9242 E. Laurel St.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.882452,-118.136738,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06058,06032,2022-2023
060444000410,0604440,Washington Elementary,06,9725 E. Jefferson St.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.8939,-118.1272,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06058,06032,2022-2023
060444005832,0604440,Bellflower Alternative Education Center,06,16703 S. Clark Ave.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.864832,-118.133533,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06063,06032,2022-2023
060444005836,0604440,Albert Baxter Elementary,06,14929 Cerritos Ave.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.898,-118.1403,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06058,06032,2022-2023
060444007513,0604440,Intensive Learning Center,06,4718 E. Michelson St.,Lakewood,CA,90712,06,06037,Los Angeles County,21,33.857,-118.137,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06063,06033,2022-2023
060444008118,0604440,Frank E. Woodruff Elementary,06,15332 S. Eucalyptus St.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.8945,-118.1212,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0640,06058,06032,2022-2023
060444009115,0604440,Craig Williams Elementary,06,6144 N. Clark Ave.,Lakewood,CA,90712,06,06037,Los Angeles County,21,33.8666,-118.1334,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06063,06032,2022-2023
060444013706,0604440,Las Flores Home Education Independent Study Academy,06,10039 E. Palm St.,Bellflower,CA,90706,06,06037,Los Angeles County,21,33.8769,-118.1196,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0638,06058,06032,2022-2023
060450000412,0604500,Belleview Elementary,06,22736 Kuien Mill Rd.,Sonora,CA,95370,06,06109,Tuolumne County,41,38.03502,-120.272071,43760,"Sonora, CA",2,N,N,N,N,0604,06005,06008,2022-2023
060450014379,0604500,Belleview Special Education Preschool,06,22736 Kuien Mill Rd.,Sonora,CA,95370,06,06109,Tuolumne County,41,38.03502,-120.272071,43760,"Sonora, CA",2,N,N,N,N,0604,06005,06008,2022-2023
060453000414,0604530,Central Elementary,06,525 Mid Rd.,Belmont,CA,94002,06,06081,San Mateo County,21,37.524145,-122.282537,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0614,06022,06013,2022-2023
060453000416,0604530,Fox Elementary,06,3100 Saint James Rd.,Belmont,CA,94002,06,06081,San Mateo County,21,37.509746,-122.322799,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0614,06022,06013,2022-2023
060453000418,0604530,Nesbit Elementary,06,500 Biddulph Way,Belmont,CA,94002,06,06081,San Mateo County,21,37.525054,-122.275081,41860,"San Francisco-Oakland-Berkeley, CA",1,488,"San Jose-San Francisco-Oakland, CA",N,N,0614,06022,06013,2022-2023
